,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
3599,8,Unity Streets,Malcolm,Stevenson,47,Husband,Married,Male,Information systems manager,None,Methodist
3600,9,Unity Streets,Donald,Smith,57,Head,Married,Male,"Surveyor, building control",None,Christian
3601,9,Unity Streets,Rosie,Smith,55,Wife,Married,Female,"Teacher, secondary school",None,None
3602,10,Unity Streets,Fiona,Bentley,45,Head,Married,Female,Clinical molecular geneticist,None,None
3603,10,Unity Streets,Alex,Bentley,46,Husband,Married,Male,"Sound technician, broadcasting/film/video",None,None
3604,11,Unity Streets,Julian,Jones,63,Head,Married,Male,Cabin crew,None,Christian
3605,11,Unity Streets,Kathryn,Jones,63,Wife,Married,Female,Sub,None,Christian
3606,12,Unity Streets,Ann,Allen,63,Head,Married,Female,Location manager,None,None
3607,12,Unity Streets,Leon,Allen,61,Husband,Married,Male,Insurance claims handler,None,None
3608,12,Unity Streets,Bernard,Allen,34,Son,Divorced,Male,"Copywriter, advertising",None,None
3609,13,Unity Streets,Billy,Green,84,Head,Married,Male,Retired Barrister,None,Christian
3610,13,Unity Streets,Lynda,Green,80,Wife,Married,Female,Retired Music therapist,None,Christian
3611,14,Unity Streets,Kim,Cooper,19,Head,Divorced,Female,University Student,None,None
3612,15,Unity Streets,Molly,Benson,45,Head,Single,Female,Chief Financial Officer,None,None
3613,15,Unity Streets,Garry,Graham,51,Partner,Single,Male,Health promotion specialist,None,None
3614,15,Unity Streets,Gary,Benson,8,Son,NA,Male,Student,None,NA
3615,16,Unity Streets,Francesca,Lamb,58,Head,Divorced,Female,"Designer, industrial/product",None,Methodist
3616,16,Unity Streets,Joseph,Holmes,27,Son,Widowed,Male,Marketing executive,None,Methodist
3617,17,Unity Streets,Jean,Jones,35,Head,Married,Female,"Conservation officer, nature",None,None
3618,17,Unity Streets,Daniel,Jones,37,Husband,Married,Male,Unemployed,None,None
3619,17,Unity Streets,Roy,Jones,2,Son,NA,Male,Child,None,NA
3620,17,Unity Streets,Stuart,Potts,30,Lodger,Single,Male,Television production assistant,None,None
3621,18,Unity Streets,Jodie,Scott,49,Head,Single,Female,Unemployed,None,Methodist
3622,18,Unity Streets,Chelsea,Scott,21,Daughter,Single,Female,University Student,None,Methodist
3623,18,Unity Streets,Charlotte,Scott,20,Daughter,Single,Female,University Student,None,Methodist
3624,19,Unity Streets,Jamie,Green,71,Head,Divorced,Male,"Retired Chemist, analytical",None,Christian
3625,20,Unity Streets,Dale,Smith,31,Head,Married,Male,Volunteer coordinator,None,Christian
3626,20,Unity Streets,Nicole,Smith,29,Wife,Married,Female,Sports therapist,None,None
3627,21,Unity Streets,Luke,Poole,55,Head,Single,Male,"Psychotherapist, dance movement",None,None
3628,22,Unity Streets,Ellie,Andrews,34,Head,Divorced,Female,Unemployed,None,None
3629,22,Unity Streets,Francesca,Andrews,1,Daughter,NA,Female,Child,None,NA
3630,23,Unity Streets,Dale,Johnson,46,Head,Married,Male,Tax adviser,None,None
3631,23,Unity Streets,Olivia,Johnson,43,Wife,Married,Female,Tax inspector,None,None
3632,23,Unity Streets,Donald,Johnson,8,Son,NA,Male,Student,None,NA
3633,24,Unity Streets,Shannon,Dale,40,Head,Divorced,Female,"Accountant, chartered public finance",None,Christian
3634,24,Unity Streets,Russell,Dale,17,Son,NA,Male,Student,None,NA
3635,25,Unity Streets,Russell,Ellis,52,Head,Single,Male,Visual merchandiser,None,Catholic
3636,26,Unity Streets,Joyce,Hart,44,Head,Divorced,Female,Printmaker,None,Catholic
3637,26,Unity Streets,Kieran,Hart,5,Son,NA,Male,Student,None,NA
3638,27,Unity Streets,Jennifer,Randall,32,Head,Single,Female,Press photographer,None,Catholic
3639,27,Unity Streets,Guy,Randall,4,Son,NA,Male,Child,None,NA
3640,28,Unity Streets,Abdul,Mitchell,69,Head,Widowed,Male,Retired Database administrator,None,Christian
3641,1,Nicholson Port,Kyle,Brown,41,Head,Married,Male,Sport and exercise psychologist,None,Catholic
3642,1,Nicholson Port,Cheryl,Brown,40,Wife,Married,Female,"Surveyor, land/geomatics",None,Catholic
3643,1,Nicholson Port,Gregory,Brown,5,Step-Son,NA,Male,Student,None,NA
3644,1,Nicholson Port,Wendy,Hill,2,Step-Daughter,NA,Female,Child,None,NA
3645,2,Nicholson Port,Ruth,Harding,56,Head,Single,Female,Unemployed,None,Christian
3646,2,Nicholson Port,Victor,Harding,8,Son,NA,Male,Student,None,NA
3647,3,Nicholson Port,Grace,Bradshaw,53,Head,Divorced,Female,Unemployed,None,Methodist
3648,3,Nicholson Port,Tom,Bradshaw,14,Step-Son,NA,Male,Student,None,NA
3649,4,Nicholson Port,Pamela,Watts,69,Head,Married,Female,Retired Lawyer,None,Christian
3650,4,Nicholson Port,Gregory,Watts,73,Husband,Married,Male,Retired Dentist,None,Christian
3651,4,Nicholson Port,Pamela,Watts,33,Daughter,Single,Female,Freight forwarder,None,None
3652,4,Nicholson Port,Michael,Watts,32,Son,Divorced,Male,Unemployed,None,None
3653,4,Nicholson Port,Emily,Watts,29,Daughter,Single,Female,Automotive engineer,None,Christian
3654,5,Nicholson Port,Michelle,Stephens,42,Head,Married,Female,Brewing technologist,None,None
3655,5,Nicholson Port,Norman,Stephens,40,Husband,Married,Male,Copy,None,None
3656,5,Nicholson Port,Gerard,Stephens,26,Son,Single,Male,"Accountant, chartered public finance",None,None
3657,5,Nicholson Port,Shaun,Potts-Stephens,23,Son,Divorced,Male,Advice worker,None,None
3658,6,Nicholson Port,June,White,44,Head,Married,Female,Marketing executive,None,Catholic
3659,6,Nicholson Port,Ryan,White,43,Husband,Married,Male,Tour manager,None,Catholic
3660,6,Nicholson Port,Justin,White,9,Son,NA,Male,Student,None,NA
3661,7,Nicholson Port,Cheryl,Watson,56,Head,Single,Female,Futures trader,None,None
3662,7,Nicholson Port,Louise,Matthews,52,None,Single,Female,Unemployed,None,Christian
3663,7,Nicholson Port,Frances,Jones,49,None,Single,Female,Environmental manager,None,Catholic
3664,7,Nicholson Port,Joan,Fisher,21,None,Single,Female,University Student,None,Methodist
3665,8,Nicholson Port,Charlotte,Pratt,51,Head,Single,F,Records manager,None,None
3666,8,Nicholson Port,Dean,Pratt,14,Son,NA,Male,Student,None,NA
3667,8,Nicholson Port,Shaun,Pratt,10,Son,NA,Male,Student,None,NA
3668,9,Nicholson Port,Vincent,Hughes,22,Head,Single,Male,University Student,None,Methodist
3669,9,Nicholson Port,William,Hyde,20,None,Single,Male,University Student,None,None
3670,9,Nicholson Port,Sean,Allen,18,None,Single,Male,University Student,None,Muslim
3671,10,Nicholson Port,Hayley,Henry,49,Head,Single,Female,Financial controller,None,Muslim
3672,10,Nicholson Port,Douglas,Jennings,51,Partner,Single,Male,Public relations officer,None,None
3673,10,Nicholson Port,Beverley,Henry,15,Daughter,NA,Female,Student,None,NA
3674,11,Nicholson Port,Michelle,Turner,41,Head,Widowed,Female,Probation officer,None,Christian
3675,11,Nicholson Port,John,Turner,16,Nephew,NA,Male,Student,None,NA
3676,11,Nicholson Port,Janice,Turner,13,Neice,NA,Female,Student,None,NA
3677,11,Nicholson Port,Jill,Webster,12,Neice,NA,Female,Student,None,NA
3678,12,Nicholson Port,Elliott,Henry,64,Head,Single,Male,Unemployed,None,None
3679,12,Nicholson Port,Debra,Chambers,62,Partner,Single,Female,Fine artist,None,None
3680,13,Nicholson Port,Charlotte,Clarke,35,Head,Married,Female,Chartered public finance accountant,None,Muslim
3681,13,Nicholson Port,Eric,Clarke,38,Husband,Married,Male,"Engineer, maintenance (IT)",None,Muslim
3682,13,Nicholson Port,Alan,Clarke,10,Son,NA,Male,Student,None,NA
3683,14,Nicholson Port,Molly,Hurst,53,Head,Married,Female,"Research officer, political party",None,None
3684,14,Nicholson Port,Jeremy,Hurst,55,Husband,Married,Male,Clinical psychologist,None,None
3685,14,Nicholson Port,Jasmine,Hurst,20,Daughter,Single,Female,University Student,None,None
3686,15,Nicholson Port,Jason,Walker,30,Head,Single,Male,"Designer, exhibition/display",None,Catholic
3687,15,Nicholson Port,Garry,Smith,59,None,Single,Male,Legal secretary,None,Catholic
3688,15,Nicholson Port,Reece,Wilson,25,None,Single,Male,Hospital doctor,None,None
3689,15,Nicholson Port,Lauren,Davies,53,None,Single,Female,Politician's assistant,None,Christian
3690,15,Nicholson Port,Wayne,Shah,59,None,Single,Male,Unemployed,None,Christian
3691,16,Nicholson Port,Claire,Allen,27,Head,Married,Female,"Journalist, magazine",None,Methodist
3692,16,Nicholson Port,Graham,Allen,25,Husband,Married,Male,Hospital pharmacist,None,Methodist
3693,16,Nicholson Port,Charlene,Allen,4,Daughter,NA,Female,Child,None,NA
3694,16,Nicholson Port,Denise,Allen,3,Daughter,NA,Female,Child,None,NA
3695,17,Nicholson Port,Paige,Brown,61,Head,Married,Female,"Teacher, early years/pre",None,Methodist
3696,17,Nicholson Port,Jack,Brown,61,Husband,Married,Male,Chief Financial Officer,None,Methodist
3697,18,Nicholson Port,Rachael,Rowley,41,Head,Married,Female,Child psychotherapist,None,None
3698,18,Nicholson Port,Elliot,Rowley,39,Husband,Married,Male,Financial manager,None,None
3699,18,Nicholson Port,Natasha,Rowley,13,Daughter,NA,Female,Student,None,NA
3700,19,Nicholson Port,Douglas,Collins,28,Head,Married,Male,Midwife,None,None
3701,19,Nicholson Port,Megan,Collins,25,Wife,Married,Female,Biomedical engineer,None,None
3702,20,Nicholson Port,Jacqueline,Lloyd,41,Head,Married,Female,Furniture designer,None,Christian
3703,20,Nicholson Port,Alex,Lloyd,41,Husband,Married,Male,Higher education lecturer,None,None
3704,20,Nicholson Port,Marcus,O'Donnell,19,Lodger,Single,Male,University Student,None,Muslim
3705,20,Nicholson Port,Rachel,Pearce,64,Lodger,Widowed,Female,Chartered certified accountant,None,Christian
3706,20,Nicholson Port,Paula,Dennis,34,Lodger,Single,Female,"Runner, broadcasting/film/video",None,Christian
3707,21,Nicholson Port,Danielle,Harding,36,Head,Single,Female,Sports administrator,None,Methodist
3708,21,Nicholson Port,Josh,Miller,36,Partner,Single,Male,"Surveyor, minerals",None,Methodist
3709,21,Nicholson Port,Stewart,Harding,17,Son,NA,Male,Student,None,NA
3710,22,Nicholson Port,Samuel,Gibson,71,Head,Married,Male,Retired Financial controller,None,None
3711,22,Nicholson Port,Denise,Gibson,69,Wife,Married,Female,Retired Cytogeneticist,None,None
3712,23,Nicholson Port,Dawn,Khan,21,Head,Married,Female,University Student,None,None
3713,23,Nicholson Port,Gareth,Khan,23,Husband,Married,Male,Personal assistant,None,None
3714,24,Nicholson Port,Christine,Brady,40,Head,Married,Female,"Lecturer, further education",None,None
3715,24,Nicholson Port,Shane,Brady,37,Husband,Married,Male,Web designer,None,None
3716,24,Nicholson Port,Joanna,Brady,1,Daughter,NA,Female,Child,None,NA
3717,25,Nicholson Port,Samantha,Riley,34,Head,Single,Female,Government social research officer,None,Christian
3718,25,Nicholson Port,Gerard,Kelly,40,Partner,Single,Male,Phytotherapist,None,Christian
3719,25,Nicholson Port,Peter,Riley,9,Son,NA,Male,Student,None,NA
3720,25,Nicholson Port,Julia,Riley,7,Daughter,NA,Female,Student,None,NA
3721,26,Nicholson Port,Holly,Smith,53,Head,Single,Female,Merchant navy officer,None,Catholic
3722,26,Nicholson Port,Francis,Smith,24,Son,Single,Male,Chartered certified accountant,None,Catholic
3723,26,Nicholson Port,Elaine,Smith,24,Daughter,Single,Female,Ranger/warden,None,Catholic
3724,26,Nicholson Port,Stewart,Smith,21,Son,Single,Male,University Student,None,None
3725,26,Nicholson Port,Terry,Smith,19,Son,Single,Male,University Student,None,None
3726,27,Nicholson Port,Alice,Nolan,49,Head,Married,Female,"Engineer, communications",None,Methodist
3727,27,Nicholson Port,Gordon,Nolan,50,Husband,Married,Male,Broadcast presenter,None,None
3728,27,Nicholson Port,Mohammad,Nolan,19,Son,Single,Male,University Student,None,None
3729,27,Nicholson Port,Clifford,Nolan,16,Son,NA,Male,Student,None,NA
3730,28,Nicholson Port,Zoe,Ellis,34,Head,Single,Female,Chemical engineer,None,Catholic
3731,28,Nicholson Port,Bernard,Harris,39,Partner,Single,Male,Herbalist,None,Catholic
3732,28,Nicholson Port,Leah,Ellis,6,Daughter,NA,Female,Student,None,NA
3733,28,Nicholson Port,Marion,Ellis,3,Daughter,NA,Female,Child,None,NA
3734,29,Nicholson Port,Trevor,Stone,52,Head,Single,M,"Scientist, research (physical sciences)",None,None
3735,30,Nicholson Port,Edward,Lambert,83,Head,Divorced,Male,Retired Midwife,None,Methodist
3736,31,Nicholson Port,Richard,Davies,38,Head,Married,Male,Barista,None,Christian
3737,31,Nicholson Port,Denise,Davies,37,Wife,Married,Female,Call centre manager,None,Christian
3738,31,Nicholson Port,Sharon,Waters,14,Daughter,NA,Female,Student,None,NA
3739,32,Nicholson Port,Jessica,Roberts,38,Head,Married,Female,Unemployed,None,None
3740,32,Nicholson Port,Garry,Roberts,47,Husband,Married,Male,Fisheries officer,None,None
3741,32,Nicholson Port,Richard,Roberts,4,Son,NA,Male,Child,None,NA
3742,33,Nicholson Port,Diana,Byrne,39,Head,Single,Female,Diplomatic Services operational officer,None,Christian
3743,33,Nicholson Port,Abdul,Johnson,35,Partner,Single,Male,"Editor, magazine features",None,None
3744,33,Nicholson Port,Victoria,Byrne,5,Daughter,NA,Female,Student,None,NA
3745,34,Nicholson Port,Debra,Chapman,55,Head,Single,Female,Operations geologist,None,None
3746,34,Nicholson Port,Dylan,Chapman,22,Son,Single,Male,University Student,None,None
3747,34,Nicholson Port,Clare,Chapman,21,Daughter,Divorced,Female,University Student,None,None
3748,35,Nicholson Port,Kevin,Bennett,55,Head,Single,Male,Historic buildings inspector/conservation officer,None,Christian
3749,35,Nicholson Port,John,Bennett,20,Son,Single,Male,University Student,None,None
3750,35,Nicholson Port,Jason,Bennett,17,Son,NA,m,Student,None,NA
3751,35,Nicholson Port,Judith,Bennett,15,Daughter,NA,Female,Student,None,NA
3752,35,Nicholson Port,Graeme,Bennett,12,Son,NA,Male,Student,None,NA
3753,36,Nicholson Port,Olivia,Wilson,29,Head,Divorced,Female,Unemployed,None,None
3754,36,Nicholson Port,Chloe,Wilson,12,Daughter,NA,Female,Student,None,NA
3755,36,Nicholson Port,Emma,Chapman-Wilson,8,Daughter,NA,Female,Student,None,NA
3756,37,Nicholson Port,Sophie,Rowe,24,Head,Married,Female,Chiropodist,None,None
3757,37,Nicholson Port,Antony,Rowe,26,Husband,Married,Male,Personal assistant,None,None
3758,37,Nicholson Port,Jade,Rowe,7,Daughter,NA,Female,Student,None,NA
3759,38,Nicholson Port,Julia,Wilkinson,33,Head,Married,Female,IT trainer,None,None
3760,38,Nicholson Port,Neil,Wilkinson,36,Husband,Married,Male,Software engineer,None,None
3761,38,Nicholson Port,Rosemary,Wilkinson,7,Daughter,NA,Female,Student,None,NA
3762,39,Nicholson Port,Hazel,Rose,50,Head,Single,Female,Publishing rights manager,None,Catholic
3763,39,Nicholson Port,Justin,Patel,52,Partner,Single,Male,"Embryologist, clinical",None,Catholic
3764,39,Nicholson Port,Darren,Rose,21,Son,Single,Male,University Student,None,Catholic
3765,39,Nicholson Port,Jemma,Rose,8,Daughter,NA,Female,Student,None,NA
3766,40,Nicholson Port,Beth,Jones,39,Head,Single,Female,Glass blower/designer,None,None
3767,40,Nicholson Port,Caroline,Jones,8,Daughter,NA,Female,Student,None,NA
3768,1,Crown Lane,Scott,Sims,58,Head,Single,Male,Landscape architect,None,None
3769,2,Crown Lane,Paul,Allen,33,Head,Divorced,Male,Fine artist,None,Christian
3770,3,Crown Lane,Jade,Hall,53,Head,Married,Female,"Nurse, mental health",None,Christian
3771,3,Crown Lane,Bethan,Hall,54,Wife,Married,Female,Chiropodist,None,Christian
3772,3,Crown Lane,Anthony,Hall,15,Son,NA,Male,Student,None,NA
3773,4,Crown Lane,Nicole,Osborne,26,Head,Single,Female,Legal executive,None,Christian
3774,5,Crown Lane,Karl,Greenwood,72,Head,Widowed,Male,Retired Field trials officer,None,Christian
3775,6,Crown Lane,Patrick,Roberts,80,Head,Widowed,Male,"Retired Scientist, research (life sciences)",None,None
3776,7,Crown Lane,Hilary,Taylor,41,Head,Single,Female,Data processing manager,None,Methodist
3777,8,Crown Lane,Janice,Turner,72,Head,Married,Female,Retired Electrical engineer,None,None
3778,8,Crown Lane,Derek,Turner,72,Husband,Married,Male,"Retired Production assistant, television",None,None
3779,9,Crown Lane,Glen,Owen,29,Head,Single,Male,Writer,None,None
3780,10,Crown Lane,Terry,Jordan,46,Head,Single,Male,"Therapist, speech and language",None,Catholic
3781,11,Crown Lane,Alice,Lynch,22,Head,Divorced,Female,Lawyer,None,None
3782,12,Crown Lane,Kimberley,Patterson,18,Head,Single,Female,Student,None,NA
3783,13,Crown Lane,Barbara,Williams,46,Head,Married,F,Water engineer,None,Methodist
3784,13,Crown Lane,Stuart,Williams,48,Husband,Married,Male,Medical sales representative,None,Methodist
3785,14,Crown Lane,Karen,Lambert,72,Head,Widowed,Female,"Retired Psychologist, counselling",None,Christian
3786,15,Crown Lane,Ashley,Horton,69,Head,Widowed,Male,Retired Chief Technology Officer,None,None
3787,16,Crown Lane,Robin,Wheeler,39,Head,Married,Male,Human resources officer,None,Methodist
3788,16,Crown Lane,Rosemary,Wheeler,37,Wife,Married,Female,"Engineer, civil (contracting)",None,None
3789,17,Crown Lane,Lucy,Marsden,39,Head,Divorced,Female,Armed forces technical officer,None,Catholic
3790,18,Crown Lane,Leon,Butler,38,Head,Single,Male,"Exhibitions officer, museum/gallery",None,Christian
3791,19,Crown Lane,Elizabeth,Morris,71,Head,Married,Female,"Retired Surveyor, insurance",None,Catholic
3792,19,Crown Lane,Stephen,Morris,73,Husband,Married,Male,"Retired Production assistant, television",None,None
3793,19,Crown Lane,Lewis,Morris,1,Grandson,NA,Male,Child,None,NA
3794,20,Crown Lane,Kayleigh,Ward,26,Head,Single,Female,Unemployed,None,None
3795,21,Crown Lane,John,Kemp,94,Head,Widowed,Male,Retired Health and safety inspector,None,None
3796,22,Crown Lane,Emily,Owen,79,Head,Widowed,Female,Retired Jewellery designer,None,Christian
3797,23,Crown Lane,Shirley,White,23,Head,Single,Female,"Programme researcher, broadcasting/film/video",None,Catholic
3798,24,Crown Lane,Paige,Kemp,87,Head,Divorced,Female,Unemployed,None,None
3799,25,Crown Lane,Abbie,Barnes,70,Head,Married,Female,"Retired Scientist, product/process development",None,Christian
3800,25,Crown Lane,Scott,Barnes,76,Husband,Married,Male,Retired Psychotherapist,None,None
3801,26,Crown Lane,Anna,Watkins,36,Head,Single,Female,Theatre director,None,None
3802,26,Crown Lane,Douglas,Kelly,41,Partner,Single,Male,"Therapist, drama",None,None
3803,26,Crown Lane,Matthew,Wood-Watkins,16,Son,NA,Male,Student,None,NA
3804,27,Crown Lane,Ronald,Cartwright,88,Head,Widowed,Male,Retired Financial trader,None,Christian
3805,28,Crown Lane,Hilary,Lawrence,56,Head,Divorced,F,"Horticulturist, commercial",None,Jewish
3806,29,Crown Lane,Barry,Allen,63,Head,Single,Male,Air traffic controller,None,Christian
3807,30,Crown Lane,Ashleigh,Russell,68,Head,Widowed,Female,Retired Print production planner,None,Christian
3808,31,Crown Lane,Glen,Bailey,52,Head,Single,Male,"Journalist, newspaper",None,None
3809,32,Crown Lane,Brenda,Andrews,47,Head,Single,Female,"Engineer, biomedical",None,Catholic
3810,33,Crown Lane,Joanne,Davies,36,Head,Single,Female,Unemployed,None,Christian
3811,33,Crown Lane,Megan,Miller,58,None,Single,Female,Operations geologist,None,Christian
3812,33,Crown Lane,Jodie,Kirk,43,None,Single,Female,"Engineer, chemical",None,None
3813,34,Crown Lane,Lisa,Bradley,84,Head,Widowed,Female,"Retired Loss adjuster, chartered",None,Christian
3814,35,Crown Lane,Clive,Hunt,47,Head,Single,Male,Video editor,None,None
3815,36,Crown Lane,Caroline,Phillips,68,Head,Widowed,Female,Retired Building control surveyor,None,None
3816,37,Crown Lane,Brian,Morris,44,Head,Single,Male,Unemployed,None,Christian
3817,37,Crown Lane,Craig,Scott,15,Nephew,NA,Male,Student,None,NA
3818,38,Crown Lane,Ashleigh,Lawrence,51,Head,Single,Female,Hydrogeologist,None,Catholic
3819,39,Crown Lane,Andrew,Edwards,47,Head,Single,Male,Arts development officer,None,Catholic
3820,40,Crown Lane,Leanne,Davies,51,Head,Single,Female,Unemployed,None,Christian
3821,40,Crown Lane,Edward,Davies,3,Son,NA,Male,Child,None,NA
3822,41,Crown Lane,Keith,Patel,74,Head,Divorced,Male,"Retired Administrator, local government",None,Christian
3823,42,Crown Lane,Hazel,James,79,Head,Divorced,Female,Retired Environmental education officer,None,Christian
3824,43,Crown Lane,Henry,Thomas,56,Head,Single,Male,Clinical psychologist,None,None
3825,44,Crown Lane,Jane,Blackburn,52,Head,Married,Female,Arboriculturist,None,Christian
3826,44,Crown Lane,Colin,Blackburn,55,Husband,Married,Male,"Editor, magazine features",None,None
3827,44,Crown Lane,Julian,Blackburn,14,Son,NA,Male,Student,None,NA
3828,45,Crown Lane,Elliott,Smith,33,Head,Divorced,Male,Personal assistant,None,Catholic
3829,46,Crown Lane,Dale,Douglas,60,Head,Single,Male,Private music teacher,None,None
3830,47,Crown Lane,Guy,Wong,71,Head,Widowed,Male,Retired Petroleum engineer,None,Christian
3831,48,Crown Lane,Shannon,Cox,85,Head,Widowed,Female,Retired Archivist,None,Christian
3832,49,Crown Lane,Jacqueline,Macdonald,95,Head,Divorced,Female,Retired Health and safety inspector,None,Christian
3833,50,Crown Lane,Howard,Dunn,61,Head,Divorced,Male,Commercial horticulturist,None,Christian
3834,51,Crown Lane,Kerry,Gray,81,Head,Widowed,Female,Retired Information officer,None,Christian
3835,52,Crown Lane,George,Rogers,72,Head,Divorced,male,Retired Bookseller,None,Christian
3836,53,Crown Lane,Michelle,Jones,58,Head,Married,Female,Consulting civil engineer,None,Christian
3837,53,Crown Lane,Terry,Jones,61,Husband,Married,Male,"Engineer, manufacturing",None,None
3838,53,Crown Lane,Sara,Jones,44,Daughter,Divorced,Female,Landscape architect,None,Christian
3839,1,Evans Avenue,Caroline,Bailey,43,Head,Married,Female,Intelligence analyst,None,None
3840,1,Evans Avenue,Owen,Bailey,44,Husband,Married,Male,Interior and spatial designer,None,None
3841,1,Evans Avenue,Ellie,Bailey,7,Daughter,NA,Female,Student,None,NA
3842,2,Evans Avenue,Shirley,Hayward,67,Head,Widowed,Female,Psychiatric nurse,None,None
3843,3,Evans Avenue,Leon,Coleman,20,Head,Single,Male,"Surveyor, minerals",None,None
3844,4,Evans Avenue,Alexandra,Edwards,38,Head,Single,Female,Unemployed,None,None
3845,4,Evans Avenue,Stephanie,Smith,20,None,Single,Female,University Student,None,None
3846,5,Evans Avenue,Darren,Carter,44,Head,Single,Male,Veterinary surgeon,None,Catholic
3847,5,Evans Avenue,Brian,Joyce,41,Partner,Single,Male,Building services engineer,None,None
3848,5,Evans Avenue,Martin,Carter,15,Son,NA,Male,Student,None,NA
3849,5,Evans Avenue,Olivia,Carter,9,Daughter,NA,Female,Student,None,NA
3850,5,Evans Avenue,Adrian,Carter,9,Son,NA,Male,Student,None,NA
3851,6,Evans Avenue,Timothy,Atkins,72,Head,Married,Male,Retired Senior tax professional/tax inspector,None,Jewish
3852,6,Evans Avenue,Cheryl,Atkins,70,Wife,Married,Female,Retired Landscape architect,None,None
3853,7,Evans Avenue,Marc,Young,86,Head,Divorced,Male,Retired Travel agency manager,None,Christian
3854,8,Evans Avenue,Terence,Page,20,Head,Single,Male,University Student,None,None
3855,8,Evans Avenue,Jeffrey,Clark,46,None,Single,Male,Equality and diversity officer,None,Catholic
3856,9,Evans Avenue,Elizabeth,Davies,30,Head,Married,Female,Systems developer,None,None
3857,9,Evans Avenue,Roger,Davies,32,Husband,Married,Male,Museum education officer,None,None
3858,9,Evans Avenue,Kayleigh,Davies,4,Daughter,NA,Female,Child,None,NA
3859,10,Evans Avenue,Hollie,Holland,40,Head,Married,Female,Orthoptist,None,Catholic
3860,10,Evans Avenue,Mark,Holland,39,Husband,Married,Male,Unemployed,None,Catholic
3861,10,Evans Avenue,Christine,Holland,6,Daughter,NA,Female,Student,None,NA
3862,10,Evans Avenue,Trevor,Holland,0,Son,NA,Male,Child,None,NA
3863,10,Evans Avenue,Julian,Miller,27,Lodger,Single,Male,Drilling engineer,None,None
3864,11,Evans Avenue,Irene,Thomas,51,Head,Married,Female,Curator,None,None
3865,11,Evans Avenue,Graeme,Thomas,52,Husband,Married,Male,Professor Emeritus,None,None
3866,11,Evans Avenue,Alison,Thomas,15,Daughter,NA,Female,Student,None,NA
3867,1,September Drive,Brett,Curtis,39,Head,Single,Male,Unemployed,Deaf,None
3868,2,September Drive,Jade,Griffin,33,Head,Single,Female,"Engineer, maintenance (IT)",None,Catholic
3869,3,September Drive,Martyn,Morton,32,Head,Single,Male,"Nurse, learning disability",None,None
3870,3,September Drive,Brenda,May,34,None,Single,Female,Print production planner,None,None
3871,4,September Drive,Jessica,Walsh,80,Head,Widowed,Female,"Retired Teacher, English as a foreign language",None,None
3872,5,September Drive,Thomas,Roberts,75,Head,Widowed,Male,Retired Careers adviser,None,Christian
3873,6,September Drive,Mohammad,Tomlinson,72,Head,Single,Male,Retired Printmaker,None,Christian
3874,7,September Drive,Helen,Williams,72,Head,Widowed,Female,"Retired Geologist, engineering",None,None
3875,8,September Drive,Megan,Wilson,63,Head,Single,Female,Technical brewer,None,None
3876,9,September Drive,Duncan,Lawrence,63,Head,Married,Male,Civil Service fast streamer,None,Catholic
3877,9,September Drive,Claire,Lawrence,60,Wife,Married,Female,Purchasing manager,None,Catholic
3878,10,September Drive,Darren,Fitzgerald,55,Head,Divorced,Male,Research scientist (life sciences),None,Christian
3879,10,September Drive,Wendy,Payne,28,None,Single,Female,Science writer,None,None
3880,10,September Drive,Philip,Goddard,52,None,Single,Male,Chartered management accountant,None,Catholic
3881,10,September Drive,Eileen,Mitchell,64,None,Single,F,Stage manager,None,Christian
3882,11,September Drive,Jeffrey,Giles,63,Head,Single,Male,Energy manager,None,None
3883,12,September Drive,Nicola,Brookes,45,Head,Divorced,Female,Unemployed,None,None
3884,12,September Drive,Paul,Webster,35,Lodger,Single,Male,Exercise physiologist,None,None
3885,13,September Drive,Terence,Harper,21,Head,Single,Male,University Student,None,None
3886,14,September Drive,Ruth,Newton,46,Head,Married,Female,Petroleum engineer,None,Methodist
3887,14,September Drive,Douglas,Newton,48,Husband,Married,Male,Unemployed,None,None
3888,14,September Drive,Mark,Newton,13,Son,NA,Male,Student,None,NA
3889,15,September Drive,Gary,Wong,74,Head,Widowed,Male,Retired Community arts worker,None,Christian
3890,16,September Drive,Debra,Morton,61,Head,Divorced,Female,Research scientist (life sciences),None,None
3891,17,September Drive,Marc,Steele,45,Head,Single,Male,General practice doctor,None,None
3892,18,September Drive,Rhys,Bailey,43,Head,Single,Male,Unemployed,None,None
3893,19,September Drive,Martyn,Lewis,27,Head,Single,Male,"Scientist, research (maths)",None,Sikh
3894,20,September Drive,Lynn,Elliott,84,Head,Divorced,Female,"Retired Engineer, biomedical",None,Methodist
3895,21,September Drive,Sandra,Rowley,67,Head,Widowed,Female,Licensed conveyancer,None,Christian
3896,22,September Drive,Valerie,Bradley,37,Head,Divorced,Female,Unemployed,None,Catholic
3897,22,September Drive,Neil,Bradley,8,Son,NA,Male,Student,None,NA
3898,22,September Drive,Lynne,Bradley,2,Daughter,NA,Female,Child,None,NA
3899,23,September Drive,Kenneth,Lawson,42,Head,Single,Male,Patent attorney,None,Catholic
3900,23,September Drive,Pamela,Harper,40,Partner,Single,Female,Unemployed,None,None
3901,24,September Drive,Janet,Nicholson,55,Head,Single,Female,Unemployed,None,Catholic
